timestamp,destination_app,source_app,value
2023-04-23 14:18:49,adservice,frontend,36.5
2023-04-23 14:18:54,adservice,frontend,9.606249999999998
2023-04-23 14:18:59,adservice,frontend,6.351785714285714
2023-04-23 14:19:04,adservice,frontend,5.568627450980392
2023-04-23 14:19:09,adservice,frontend,5.079166666666667
2023-04-23 14:19:14,adservice,frontend,4.695823547130608
2023-04-23 14:19:19,adservice,frontend,4.643037301728699
2023-04-23 14:19:24,adservice,frontend,4.163366336633662
2023-04-23 14:19:29,adservice,frontend,3.9920353982300867
2023-04-23 14:19:34,adservice,frontend,3.814313725490195
2023-04-23 14:19:39,adservice,frontend,4.448014440433212
2023-04-23 14:19:44,adservice,frontend,4.158333333333334
2023-04-23 14:19:49,adservice,frontend,4.609036144578313
2023-04-23 14:19:54,adservice,frontend,4.2795103092783515
2023-04-23 14:19:59,adservice,frontend,4.069304556354917
2023-04-23 14:20:04,adservice,frontend,4.532967032967033
2023-04-23 14:20:09,adservice,frontend,5.878421052631579
2023-04-23 14:20:14,adservice,frontend,6.564688715953307
2023-04-23 14:20:19,adservice,frontend,9.798411214953271
2023-04-23 14:20:24,adservice,frontend,9.46796875
2023-04-23 14:20:29,adservice,frontend,8.270247933884297
2023-04-23 14:20:34,adservice,frontend,7.006
2023-04-23 14:20:39,adservice,frontend,5.830240000000001
2023-04-23 14:20:44,adservice,frontend,3.416031746031747
2023-04-23 14:20:49,adservice,frontend,4.036747967479672
2023-04-23 14:20:54,adservice,frontend,4.207610474631752
2023-04-23 14:20:59,adservice,frontend,4.047222222222222
2023-04-23 14:21:04,adservice,frontend,4.039754098360656
2023-04-23 14:21:09,adservice,frontend,3.521200000000002
2023-04-23 14:21:14,adservice,frontend,2.7086477987421396
2023-04-23 14:21:19,adservice,frontend,2.5537209302325574
2023-04-23 14:21:24,adservice,frontend,3.193157076205288
2023-04-23 14:21:29,adservice,frontend,3.136544342507644
2023-04-23 14:21:34,adservice,frontend,3.472981366459625
2023-04-23 14:21:39,adservice,frontend,4.3225656877898
2023-04-23 14:21:44,adservice,frontend,4.543348982785603
2023-04-23 14:21:49,adservice,frontend,3.945784023668637
2023-04-23 14:21:54,adservice,frontend,3.9569299552906094
2023-04-23 14:21:59,adservice,frontend,3.571822358346097
2023-04-23 14:22:04,adservice,frontend,2.7158573596358115
2023-04-23 14:22:09,adservice,frontend,2.464009287925694
2023-04-23 14:22:14,adservice,frontend,2.2887096774193605
2023-04-23 14:22:19,adservice,frontend,2.2684466019417497
2023-04-23 14:22:24,adservice,frontend,2.6662939297124577
2023-04-23 14:22:29,adservice,frontend,2.759920634920635
2023-04-23 14:22:34,adservice,frontend,2.9857704402515735
2023-04-23 14:22:39,adservice,frontend,3.0099193548386998
2023-04-23 14:22:44,adservice,frontend,3.056587301587304
2023-04-23 14:22:49,adservice,frontend,2.638134206219315
2023-04-23 14:22:54,adservice,frontend,2.5092905405405403
2023-04-23 14:22:59,adservice,frontend,2.257011686143574
